question,metadata,answer,sources
when does a baby become viable outside the womb,{'source': 'rosie answerable'},"In later pregnancy, a health care professional may use the term “viable” to indicate the chance for survival that a fetus has if delivered before it can fully develop in the uterus. During the periviable period, which is weeks 20 through 25 of pregnancy, rates of neonatal survival to discharge at this time range dramatically from 23%-27% for births at 23 weeks, 42% to 59% for births at 24 weeks, and 67% to 76% for births at 25 weeks of gestations. Deliveries before 23 weeks have only a 5-6% survival rate, and of those rare survivors, almost all have significant disease or medical conditions. Fetal viability depends on many complex factors, of which gestational age is only one. Other factors that influence viability are sex, genetics, weight, circumstances around delivery, and availability of a neonatal intensive care professional. Even with all available factors considered, it still isn't possible to definitively predict a fetus's survival. While some babies delivered during the periviable period can survive outside the womb, they may also experience significant disease and impairment. Some fetal conditions exist for which survivability will be poor regardless of when the pregnancy ends. No definite diagnosis of viability exists, and no test can definitely determine whether a fetus could survive outside of the womb. Determining whether a pregnancy is viable beyond the first trimester is often based on clinical judgment. While health care professionals cannot predict with certainty the outcome for an individual pregnancy or fetus, they can help patients understand their individual risks and circumstances so that they can make informed decisions for their pregnancy and their individual health.",https://www.acog.org/advocacy/facts-are-important/understanding-and-navigating-viability
what is normal weight of baby during birth,{'source': 'rosie answerable'},"A healthy weight for a baby at birth can vary. Most babies born at term (between 37 and 40 weeks) weigh between 5 pounds, 8 ounces (2,500 grams) and 8 pounds, 13 ounces (4,000 grams). Newborns who are lighter or heavier than average are usually healthy but may get extra attention from doctors and nurses after delivery to make sure no problems exist. One factor that can affect a baby's size at birth is the length of pregnancy. Babies born near their due date or later tend to be larger than those born earlier. Most babies born with low birth weight are born prematurely, or before 37 weeks of gestation. Other factors that can affect birth weight are the size of the parents, if the baby is part of a multiple birth, birth order, gender, mom's health during pregnancy, nutrition during pregnancy, and baby's health.","https://my.clevelandclinic.org/health/diseases/24980-low-birth-weight, https://kidshealth.org/en/parents/grownewborn.html#:~:text=Newborns%20come%20in%20a%20range,13%20ounces%20(4%2C000%20grams)"
what stimulates the corpus luteum to produce progesterone,{'source': 'rosie answerable'},"The corpus luteum is a normal group of cells that forms on the ovary every month in women of childbearing age. It appears right after ovulation when an egg is released from the ovary. If the egg gets fertilized, and an embryo implants in the uterus, then a placenta will also begin to develop. The placenta is the organ that holds the developing fetus and produces the hormone human chorionic gonadotropin (hCG). This hormone stimulates the corpus luteum to produce progesterone that makes the uterus a healthy environment for a developing fetus. The corpus luteum will continue to produce progesterone for about 12 weeks, at which point the placenta can start to produce enough progesterone to maintain the fetus, and the corpus luteum then regresses and breaks down.","https://my.clevelandclinic.org/health/body/21849-corpus-luteum, https://www.ncbi.nlm.nih.gov/books/NBK532950/#:~:text=Human%20chorionic%20gonadotropin%20is%20a,the%20liver%2C%20and%20the%20colon"
when does the fetus begin to develop memory,{'source': 'rosie answerable'},"The ability to remember people and things dramatically increases in babies aged 8 to 12 months, but this is short-term memory. Long-term memory is different. Researchers have found that children have great difficulty recalling the past before 12 months of age because the brain is too immature to firmly register experiences. The brains of older babies have developed enough to record and retrieve memories of single distinctive experiences, such as playing a game they played months before. Most single experiences before the age of 8 months, unless very emotional or painful, are probably not remembered. Even though memory is not fully developed in infancy, experiences in early childhood are important in building and acquiring the development of memory. Memory is a complex cognitive ability that is important in many aspects of thinking and learning, including language, reading, following directions, problem solving, and imagining. For memories to become part of the child's life story and be real to them, there must first be a developed sense of self and personal identity. Children do not fully develop a sense of self until typically around 1 ½ or 2 years of age. Having a sense of self gives a place for the memory to be organized and develop personal meaning.","https://news.harvard.edu/gazette/story/2002/11/long-term-memory-kicks-in-after-age-one/, https://extension.psu.edu/programs/betterkidcare/early-care/tip-pages/all/developing-memory"
how does the placenta detaches from the uterus after birth,{'source': 'rosie answerable'},"When a baby is delivered vaginally, the placenta is also delivered vaginally after the baby is born, usually within 30 minutes. The uterus will naturally continue to contract to expel the placenta, and it might require one more push to deliver the placenta. Sometimes complications may arise during delivery of the placenta. A retained placenta might occur if contractions are not robust enough to completely expel the placenta or if all or part of the placenta remains attached to the uterine wall. The placenta may also become trapped behind a partially closed cervix. To assist in the delivery of the placenta, your health care provider might administer a drug to continue uterine contractions and reduce bleeding. Massaging your lower abdomen can also encourage the uterus to contract and expel the placenta. Breastfeeding can also make the uterus contract and may be enough to expel the placenta. If delivery of the placenta takes longer than 30 minutes, heavy bleeding often results. Emergency surgery may be required as a last resort to remove a retained placenta and reduce the risk of postpartum hemorrhage. Surgery is also necessary in rare, severe cases such as placenta accreta, when the placenta has grown deeply embedded in the womb.","https://www.mayoclinic.org/healthy-lifestyle/pregnancy-week-by-week/in-depth/placenta/art-20044425, https://americanpregnancy.org/healthy-pregnancy/labor-and-birth/retained-placenta"
when does the anterior fontanelle close in babies,{'source': 'rosie answerable'},"Fontanelles are the soft spaces on a baby's head where the skull bones have not yet fused together. The anterior fontanelle is located near the front, top of a baby's head and usually closes between 7 and 18 months, while the posterior fontanelle, at the back of the head, usually closes within the first two months after birth. The fontanelle spaces allow for the skull bones to shift as needed during birth and for a baby's brain to grow. It is OK to lightly touch your baby's fontanelles; they should feel soft and flat. Premature babies or babies with ongoing medical conditions might have fontanelles that close on a different schedule. Talk to your baby's healthcare provider to understand when to expect your baby's fontanelles to close. If you feel your baby's fontanelles are closing too soon or haven't closed by 18 months, consult your pediatrician. Also, talk to your healthcare provider if you see a bulging or sunken fontanelle, which may be a sign of a health issue.","https://www.childrenscolorado.org/conditions-and-advice/parenting/parenting-articles/fontanelles/#:~:text=Typically%2C%20fontanelles%20close%20by%20the,18%20months%2C%20consult%20your%20pediatrician"
when do babies stop being afraid of strangers,{'source': 'rosie answerable'},"Anxiety around strangers is usually one of the first emotional milestones your baby will reach. During the ages of 8 to 9 months, babies might become anxious, clinging, easily frightened, and cry around unfamiliar people or objects. These behavior patterns occur because your baby is now able to tell the difference between familiar and unfamiliar situations. The predictable anxieties during this stage of development are evidence of a healthy relationship with your baby. Stranger anxiety usually abates by the age of two years. Both the duration and the intensity of stranger anxiety vary greatly among children. Some infants and young children show a strong preference for one parent over another, or grandparents or caregivers may suddenly be viewed as strangers. Comforting the child and avoiding overreaction to the behavior are usually the only therapy needed to help the child during these situations. Stranger anxiety that lasts beyond the age of two or is very intense may be a sign of a more generalized anxiety that should be evaluated by a health care professional.","https://www.healthychildren.org/English/ages-stages/baby/Pages/Emotional-and-Social-Development-8-12-Months.aspx, https://www.merckmanuals.com/professional/pediatrics/symptoms-in-infants-and-children/separation-anxiety-and-stranger-anxiety"
when does relaxin start being produced during pregnancy,{'source': 'rosie answerable'},"Relaxin is a reproductive hormone that loosens and relaxes the muscles, joints, and ligaments during pregnancy to help the body stretch and accommodate a growing fetus and prevent early contractions by relaxing the uterine muscles. It also helps to prepare the body for delivery by loosening muscles and ligaments in the pelvis. Relaxin is produced by the ovaries even before pregnancy. Levels are low until ovulation, when it starts to rise to prepare the uterus for implantation. If conception occurs, relaxin levels stay high and continue to rise through the first trimester of pregnancy. The placenta also begins to produce relaxin during pregnancy. Relaxin levels in the body peak around 12 to 14 weeks of pregnancy. Then, levels decline for the remainder of pregnancy before surging just before delivery of the baby in order to relax the pelvic muscles and widen the cervix.",https://my.clevelandclinic.org/health/body/24305-relaxin
when does a baby's lungs start functioning,{'source': 'rosie answerable'},"During pregnancy, the lungs begin to develop during the first eight weeks of life and continue developing throughout the duration of a pregnancy. The rate of lung development can vary greatly, and the lungs are among the last organs to fully develop. Around week 25, the lungs are fully formed but not yet ready to function outside the uterus. Inside the mother's womb, the lungs are filled with fluid, and oxygen is supplied through the umbilical cord. By 37 weeks, the lungs are functional and ready to undergo their biggest change at birth, when they must quickly start breathing air to supply the baby with oxygen and expel carbon dioxide. The lungs of babies born before 37 weeks are usually not fully developed, which puts premature infants at risk for developing respiratory distress syndrome (RDS). Researchers have been able to make artificial surfactant as an effective treatment for babies with RDS.","https://www.lung.org/blog/how-young-lungs-develop#:~:text=Throughout%20the%20pregnancy%2C%20these%20%22branches,develop%20%E2%80%93%20usually%20around%2037%20weeks, https://www.acog.org/womens-health/faqs/how-your-fetus-grows-during-pregnancy, https://www.mayoclinic.org/healthy-lifestyle/pregnancy-week-by-week/in-depth/fetal-development/art-20046151"
what is a collapsed follicle in an ovary,{'source': 'rosie answerable'},"A collapsed follicle occurs with normal ovulation, when one of the ovaries releases an egg from a follicle. The follicle physically collapses and becomes cloudy when viewed on ultrasound imaging. This collapsed follicle undergoes structural and functional transformation to become the corpus luteum, which releases the hormone progesterone to support pregnancy. In some cases, a follicular cyst may develop when a mature follicle collapses on itself.","https://pubmed.ncbi.nlm.nih.gov/34724259/#:~:text=Ovulation%20(follicular%20collapse)%20was%20defined,collapsed%20follicle%20or%20corpus%20luteum, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3066197, https://intermountainhealthcare.org/blogs/ovary-pain-understanding-ovarian-cysts"
