question,metadata,answer,sources
What should I bring to the hospital?,"{'author_id': 'buxK6oKLAuN2Dt0G2RkdPeY1D623', 'timestamp': '2023-10-26 17:21:35.397922+00:00', 'id': 'qa_pairs/3oaAYNVv669P9tNzP35l'}","The arrival of your new son or daughter is a time of excitement and joy. It is often also a hectic time, so it can be hard to remember to pack everything that you will need at the hospital. About a month before your baby's due date, make sure you have the items below. Pack as many beforehand as you can. Use this checklist as a guide to get organized for the big event.",https://medlineplus.gov/ency/patientinstructions/000543.htm
At what age should my child have a phone?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-14 12:11:51.301140+00:00', 'id': 'qa_pairs/Bl8Q0pMc4lk6ONIj4yii'}","Professionals seem to be divided on the exact age a child should own a cell phone, however the general agreement seems to indicate beginning the conversation of ownership after age 12. Each child and family is different, so there may be a need sooner rather than later. There are resources available that can help you to make an informed decision as to when the time if right for your child to have a phone for individual use.",https://childmind.org/article/when-should-you-get-your-kid-a-phone/
Why is my hair falling?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-20 13:48:42.920302+00:00', 'id': 'qa_pairs/W2zJQYss1ZgCAWkxXcE0'}",The excessive shedding is caused by falling estrogen levels.,"https://www.aad.org/public/diseases/hair-loss/insider/new-moms#:~:text=excessive%20hair%20shedding.-,The%20excessive%20shedding%20is%20caused%20by%20falling%20estrogen%20levels.,regain%20normal%20fullness%20even%20earlier."
Is it common for a baby's hair to fallout?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-12 10:29:47.211719+00:00', 'id': 'qa_pairs/nnQI3568hoPuMKWg7F9w'}",The baby hair of many newborns falls out during the first 6 months of life. Hair loss peaks at 3 months old.,https://www.seattlechildrens.org/conditions/a-z/hair-loss/ 
How many hours should a baby sleep?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-02 22:50:04.627560+00:00', 'id': 'qa_pairs/wWUS4afJWlJJojBZCd32'}","Per the CDC, infants should be sleeping 12-16 hours a day including for naps.",https://www.cdc.gov/sleep/features/getting-enough-sleep.html
"My baby has a diaper rash, what cream should I use?","{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-17 09:41:08.777500+00:00', 'id': 'qa_pairs/p1u6W9pAC26HKbqaVYoo'}","Apply a zinc oxide diaper cream. This is especially important if the skin stays red between diaper changes. If your baby has severe diaper rash, layer it on like you are frosting a cake. There is no need to remove the cream with each diaper change. It can be fully removed at the end of the day.",https://www.aad.org/public/everyday-care/itchy-skin/rash/treat-diaper-rash
When is it time to push?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-04-10 20:31:15.862294+00:00', 'id': 'qa_pairs/odImx2YZS7pR0ddbcNP5'}",The pushing stage occurs after the cervix is completely dilated and no longer in front of the baby's head. A smooth passageway now exists through which you can push your baby from the uterus and down through the birth canal to delivery. Your contractions may decrease just prior to getting the urge to push.,"https://www.sutterhealth.org/health/labor-delivery/pushing#:~:text=The%20pushing%20stage%20occurs%20after,getting%20the%20urge%20to%20push."
Do you have tips on using a breast pump?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-02-06 12:34:29.086780+00:00', 'id': 'qa_pairs/avVrVaaZEqwqt9FSOtMR'}","The Kansas Breastfeeding Coalition offers tips including things to pack in breast pump bag, to get the milk flowing, and increasing your milk supply.",https://ksbreastfeeding.org/pumping-tips/
Is it okay to wake up on right side?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-02-09 08:02:59.712863+00:00', 'id': 'qa_pairs/SZhPOOtYAl1KPMjVvcfY'}","Sleeping on the back or side through the 30th week of pregnancy does not appear to increase the risk of stillbirth, reduced size at birth, or high blood pressure disorders of pregnancy, suggests an analysis funded by NIH's Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD). Many physicians advise pregnant women to sleep on their left side. Previous studies have linked back and right-side sleeping with a higher risk of stillbirth, reduced fetal growth, low birth weight, and preeclampsia, a life-threatening high blood pressure disorder that affects the mother.","https://www.nichd.nih.gov/newsroom/news/092019-pregnancy-sleep-position#:~:text=Many%20physicians%20advise%20pregnant%20women,disorder%20that%20affects%20the%20mother."
What are ways to destress a toddler?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:24:47.990755+00:00', 'id': 'qa_pairs/MbtKDJn3r6kz1A2RPDQI'}","When kids get stressed and to prevent stress you can help by hugging them often and reassuring them, keeping a routine to help them feel secure, and talk about it. Remaining calm is essential through any stressful situation. ",https://www.firstthingsfirst.org/first-things/keeping-peace-helping-toddler-reduce-stress/
