question,assumption,plausibility,veracity,evidence_source,evidence,evidence_source_link
when does a baby become viable outside the womb,There is a point before 40 weeks at which babies can survive outside of the womb.,4,TRUE,https://www.mercyone.org/health-and-wellness/health-answers/womens-health/when-can-a-baby-survive-outside-the-womb,"""Generally, a baby can survive outside the womb at around 22 weeks gestational age.  """,
,"There is a gestational age at which a baby is considered ""full term.""",5 (Very Plausible),TRUE,"https://www.acog.org/clinical/clinical-guidance/committee-opinion/articles/2013/11/definition-of-term-pregnancy#:~:text=Recommended%20Classification%20of%20Deliveries%20From%2037%20Weeks%20of,weeks%204%20Postterm%3A%2042%200%2F7%20weeks%20and%20beyond","""Full term: 39 0/7 weeks through 40 6/7 weeks""",
,There may be concerns when a baby is born early.,4,TRUE,https://www.healthline.com/health/baby/premature-baby-survival-rate,"""How early your baby is born makes a difference in what kind of interventions they might need. The more premature a little one is, the higher the chance of some complications. Each gestational week makes a difference in survival rate, when it comes to premature babies.""",
,There is a gestational age at which a baby is less likely to have complications related to gestational age.,3,Unsure,https://www.healthline.com/health/baby/premature-baby-survival-rate#28-weeks,"""Babies born between 30 and 32 weeks, while still considered preterm, have at least a 99 percentTrusted Source chance of survival. They also have very low risk of health and development complications later on.""",
what is normal weight of baby during birth,There is a healthy range for the birthweight of a full-term baby.,4,TRUE,https://www.stanfordchildrens.org/en/topic/default?id=measurements-90-P02673,"""The average weight for full-term babies (born between 37 and 41 weeks gestation) is about 7 lbs (3.2 kg).""",
,There is a point at which a baby is considered too small or too big.,3,TRUE,https://medlineplus.gov/birthweight.html,"""A low birth weight means that the baby is less than 5 pounds, 8 ounces. A high birth weight means that the baby is more than 8 pounds, 13 ounces.""",
,There are common causes for a baby to have a low birth weight.,2,TRUE,https://www.marchofdimes.org/find-support/topics/birth/low-birthweight,"""Medical risk factors for having a low-birthweight baby

Preterm labor. This is labor that starts too soon, before 37 weeks of pregnancy.
Chronic health conditions. These are health conditions that last for a long time or that happen again and again over a long period of time. Chronic health conditions need to be treated by a health care provider. Chronic health conditions that may lead to having a baby with low birthweight include high blood pressure, diabetes and heart, lung and kidney problems.
Taking certain medicines to treat health conditions, such as high blood pressure, epilepsy and blood clots. Tell your provider about any prescription medicine you take. You may need to stop taking a medicine or switch to one that’s safer during pregnancy.
Infections. Certain infections, especially infections of the internal reproductive organs during pregnancy, can slow a baby’s growth in the womb. These include cytomegalovirus, rubella, chickenpox, toxoplasmosis and certain sexually transmitted infections.
Problems with the placenta. The placenta grows in the uterus and supplies the baby with food and oxygen through the umbilical cord. Some problems in the placenta can reduce the flow of oxygen and nutrients to the baby, which can limit the baby’s growth.
Not gaining enough weight during pregnancy. Pregnant people who don’t gain enough weight during pregnancy are more likely to have a low-birthweight baby than those who gain the right amount of weight. If you have an eating disorder or have been treated for an eating disorder, tell your provider. Your provider can check on you and your baby carefully throughout pregnancy to help prevent complications and make sure you’re both healthy.
Having a baby who was born too early or who had low birthweight in the past.
Being pregnant with multiples (twins, triplets or more). More than half of multiple birth babies have low birthweight.
Smoking, drinking alcohol, using street drugs and abusing prescription drugs. Pregnant people who smoke are more than 3 times as likely to have a baby who weighs too little at birth than people who don’t smoke. Smoking, drinking alcohol, using street drugs, and abusing prescription drugs during pregnancy can slow the baby’s growth in the womb and increase the risk for preterm birth and birth defects.
Exposure to air pollution or lead
Being a member of a group that experiences the effects of racism and health disparities.
Domestic violence. This is when your partner hurts or abuses you. It includes physical, sexual and emotional abuse.
Age. Being a teen (especially younger than 15) or being older than 35 makes you more likely than other parents to have a low-birthweight baby.""",
,There are common causes for a baby to be larger than average.,2,TRUE,https://www.mayoclinic.org/diseases-conditions/fetal-macrosomia/symptoms-causes/syc-20372579,"Genetic factors and maternal conditions such as obesity or diabetes can cause fetal macrosomia. Rarely, a baby might have a medical condition that makes him or her grow faster and larger.

",
,There are risks associated with low birth weight.,4,TRUE,https://my.clevelandclinic.org/health/diseases/24980-low-birth-weight,"Low oxygen levels at birth.
Infections.
Jaundice.
Breathing issues, including infant respiratory distress syndrome, a respiratory disease caused by immature lungs.
Nervous system issues, including bleeding inside the brain (intraventricular hemorrhage).
Digestive system issues, including serious inflammation of the intestines (necrotizing enterocolitis).
They also have a higher risk of developing long-term issues, such as:

Delayed motor and social development.
Learning differences.
Health conditions when they grow up, including high blood pressure, heart disease, obesity and diabetes.",
,There may be concerns for the mother's health if the baby is too big.,3,TRUE,https://www.mayoclinic.org/diseases-conditions/fetal-macrosomia/symptoms-causes/syc-20372579,"Possible maternal complications of fetal macrosomia might include:

Labor problems. Fetal macrosomia can cause a baby to become wedged in the birth canal (shoulder dystocia), sustain birth injuries, or require the use of forceps or a vacuum device during delivery (operative vaginal delivery). Sometimes a C-section is needed.
Genital tract lacerations. During childbirth, fetal macrosomia can cause a baby to injure the birth canal — such as by tearing vaginal tissues and the muscles between the vagina and the anus (perineal muscles).
Bleeding after delivery. Fetal macrosomia increases the risk that your uterine muscles won't properly contract after you give birth (uterine atony). This can lead to potentially serious bleeding after delivery.
Uterine rupture. If you've had a prior C-section or major uterine surgery, fetal macrosomia increases the risk of uterine rupture during labor — a rare but serious complication in which the uterus tears open along the scar line from the C-section or other uterine surgery. An emergency C-section is needed to prevent life-threatening complications.",
