question,assumption,plausibility,veracity,evidence_source,evidence,evidence_source_link
Is breast pain normal when breastfeeding?,There are sensations that can be expected while breastfeeding.,5 (Very Plausible),TRUE,Breastfeeding FAQs: Pain and Discomfort (for Parents) - Nemours KidsHealth,"When babies latch on properly, some moms feel a few moments of discomfort at the very beginning of a nursing session. After that, discomfort should ease. You may feel a gentle tug on your breasts while your baby feeds, but it shouldn't hurt.",https://kidshealth.org/en/parents/breastfeed-discomfort.html
,There are common causes of pain or discomfort while breastfeeding.,4,TRUE,Breastfeeding FAQs: Pain and Discomfort (for Parents) - Nemours KidsHealth,"If you feel discomfort during nursing, stop nursing and reposition your baby to get a better latch. Your nipple areola (the ring around the nipple) should be mostly in your baby's mouth. When babies are latched on wrong, it can hurt or feel like a pinch each time your baby sucks. Over time, this can lead to painful, sore, cracked nipples. If you have pain during breastfeeding, talk to your doctor or lactation consultant to make sure your baby is properly latched or that something else isn't going on. What Else Can Cause Breast Pain? The most common causes of breast pain include: A plugged milk duct. Mastitis. Oral thrush. Inverted or flat nipples.",https://kidshealth.org/en/parents/breastfeed-discomfort.html
,There may be a need to seek medical attention for breast pain while breastfeeding.,4,TRUE,Breastfeeding FAQs: Pain and Discomfort (for Parents) - Nemours KidsHealth,"If breastfeeding is painful or uncomfortable for you, callyour doctor or lactation consultant for help.",https://kidshealth.org/en/parents/breastfeed-discomfort.html
,Pain may occur with breastfeeding.,4,FALSE,Breastfeeding FAQs: Pain and Discomfort (for Parents) - Nemours KidsHealth,"You may feel a gentle tug on your breasts while your baby feeds, but it shouldn't hurt.",https://kidshealth.org/en/parents/breastfeed-discomfort.html
,Some amount of pain may be normal.,5 (Very Plausible),FALSE,Breastfeeding FAQs: Pain and Discomfort (for Parents) - Nemours KidsHealth,"When babies latch on properly, some moms feel a few moments of discomfort at the very beginning of a nursing session. After that, discomfort should ease. You may feel a gentle tug on your breasts while your baby feeds, but it shouldn't hurt.",https://kidshealth.org/en/parents/breastfeed-discomfort.html
,Pain while breastfeeding may indicate something is wrong.,4,TRUE,Breastfeeding FAQs: Pain and Discomfort (for Parents) - Nemours KidsHealth,The most common causes of breast pain include: A plugged milk duct. Mastitis. Oral thrush. Inverted or flat nipples.,https://kidshealth.org/en/parents/breastfeed-discomfort.html
What do I need to prepare for baby?,There are certain items that are necessary for infants.,5 (Very Plausible),TRUE,Everything You Need to Buy for Your Newborn Baby (verywellfamily.com),"Baby Essentials for First 3 Months Car seat, Onesies, or other soft outfits, Baby sleepers or sleep sacks, Baby socks, Newborn hats, depending on climate, Disposable diapers or cloth diapers (and detergent for washing), Disposable wipes or 12 cloth wipes, Diaper rash cream, Waterproof pad for diaper changes, Diaper pail or receptacle, Baby washcloths, Hooded towels, Baby sponge, Baby bath wash, Baby lotion, Baby bath tub, Baby nail clippers, Digital thermometer, Medicine dropper, Bulb syringe/nasal aspirator, Crib, cradle, or bassinet, Fitted sheets and mattress cover for crib, cradle, or bassinet, Burp cloths, Bottles, if you're bottle-feeding and bottle brush, A variety of bottle nipples, in different sizes, Breastfeeding pillow, nursing pads, and nipple cream, Breast pump",https://www.verywellfamily.com/bare-necessities-basic-baby-needs-293962
,"There are certain items that are considered ""nice to have"" for infants.",5 (Very Plausible),TRUE,Everything You Need to Buy for Your Newborn Baby (verywellfamily.com),"Contrary to popular belief, the only furniture you truly need for your newborn is a place for them to sleep and a place to store their clothes. Many of us opt for much more than that—a changing table, dresser, nursery gliders, toy bin, bouncy seat, baby swing, etc.—and decorating the baby's room can be a highlight. But if you wish, you can hold off on those things until your baby is older, and you have a better idea of what they truly need.",https://www.verywellfamily.com/bare-necessities-basic-baby-needs-293962
,There is a specific sleep environment that is safe for babies.,4,TRUE,What Does A Safe Sleep Environment Look Like? (nih.gov),"Safe Sleep For Your Baby Reduce the Risk of Sudden Infant Death Syndrome (SIDS) and Other Sleep-Related Causes of Infant Death Always place baby on his or her back to sleep, for naps and at night, to reduce the risk of SIDS. Use a firm and flat sleep surface, such as a mattress in a safety-approved crib*, covered by a fitted sheet with no other bedding or soft items in the sleep area. Share your room with baby. Keep baby in your room close to your bed, but on a separate surface designed for infants, ideally for baby's first year, but at least for the first 6 months. Do not put soft objects, toys, crib bumpers, or loose bedding under baby, over baby, or anywhere in baby's sleep area.",https://www.nichd.nih.gov/sites/default/files/publications/pubs/documents/safe_sleep_environment_rev.pdf
,A car seat is necessary for a baby.,4,TRUE,Car Seat Safety: Newborn to 2 Years | Children's Hospital of Philadelphia (chop.edu),"Your infant or toddler should ride in a rear-facing car safety seat as long as possible, until they reach the highest weight or height allowed by their seat. Most convertible seats have limits that will allow children to ride rear-facing for two years or more. Don't be concerned if your child's legs bend at the knees or touch the back seat of the car when rear-facing; this will not harm her feet or knees.",https://www.chop.edu/centers-programs/car-seat-safety-kids/car-seat-safety-by-age/newborn-2-years
