question,metadata
What should I bring to the hospital?,"{'author_id': 'buxK6oKLAuN2Dt0G2RkdPeY1D623', 'timestamp': '2023-10-26 17:21:35.397922+00:00', 'id': 'qa_pairs/3oaAYNVv669P9tNzP35l'}"
At what age should my child have a phone?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-14 12:11:51.301140+00:00', 'id': 'qa_pairs/Bl8Q0pMc4lk6ONIj4yii'}"
Why is my hair falling?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-20 13:48:42.920302+00:00', 'id': 'qa_pairs/W2zJQYss1ZgCAWkxXcE0'}"
Is it common for a baby's hair to fallout?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-12 10:29:47.211719+00:00', 'id': 'qa_pairs/nnQI3568hoPuMKWg7F9w'}"
How many hours should a baby sleep?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-02 22:50:04.627560+00:00', 'id': 'qa_pairs/wWUS4afJWlJJojBZCd32'}"
"My baby has a diaper rash, what cream should I use?","{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-17 09:41:08.777500+00:00', 'id': 'qa_pairs/p1u6W9pAC26HKbqaVYoo'}"
When is it time to push?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-04-10 20:31:15.862294+00:00', 'id': 'qa_pairs/odImx2YZS7pR0ddbcNP5'}"
Do you have tips on using a breast pump?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-02-06 12:34:29.086780+00:00', 'id': 'qa_pairs/avVrVaaZEqwqt9FSOtMR'}"
Is it okay to wake up on right side?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-02-09 08:02:59.712863+00:00', 'id': 'qa_pairs/SZhPOOtYAl1KPMjVvcfY'}"
What are ways to destress a toddler?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:24:47.990755+00:00', 'id': 'qa_pairs/MbtKDJn3r6kz1A2RPDQI'}"
How can I help my baby when she gets heat rash?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-03-27 20:30:07.217286+00:00', 'id': 'qa_pairs/aY1gbOP4bIaquG4tX3GQ'}"
When does babies start to crawl?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-08-03 13:47:04.844469+00:00', 'id': 'qa_pairs/Q29EWvxzOmEiaugbEo1u'}"
Folic acid til which month?,"{'author_id': 'V88m8gxhi4aKTeNfKnw8fd1w0n53', 'timestamp': '2023-02-15 14:41:48.170603+00:00', 'id': 'qa_pairs/8WYYNWLOHQV0QgT0uDu6'}"
What are the 6week old infant milestones?,"{'author_id': '84ka1SZgxahTsy8lyty9TUPkJ5k1', 'timestamp': '2023-01-29 10:45:25.472704+00:00', 'id': 'qa_pairs/F59i6AVo4pekamzbQSh3'}"
How do I know if my baby is right handed?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:53:49.943535+00:00', 'id': 'qa_pairs/vbUHyQW6xneMq7cxeccS'}"
What cough medicine is appropriate for breastfeeding mothers?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-03-26 08:46:04.833959+00:00', 'id': 'qa_pairs/DzrC4WCw5IlQL98R2qrI'}"
When should I start tummy time ?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-18 09:23:47.938375+00:00', 'id': 'qa_pairs/fy77tXf6NM62CeMUEn8R'}"
How many calories do I need during pregnancy?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-06-15 10:49:57.147902+00:00', 'id': 'qa_pairs/VZ9UMQJJinZZDSL5CLDo'}"
Are swimming classes okay for my 6 month old?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:25:28.839234+00:00', 'id': 'qa_pairs/UOArIZOTeN83LK5iyXXc'}"
Which baby bottles are recommended by lactation consultants?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-07 18:43:06.101137+00:00', 'id': 'qa_pairs/F4ghJUGkTdB22he0got9'}"
How can I push the baby out of my vaginal canal?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-04-11 00:27:53.883997+00:00', 'id': 'qa_pairs/fyUJDitc7GeqyDPIwhuJ'}"
When should my baby start holding her own bottle ?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-02 10:00:17.673208+00:00', 'id': 'qa_pairs/XLLuz0zQUXDsO22Hrqve'}"
How long will it take a baby to poop from breastfeeding?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-04-13 00:51:21.503722+00:00', 'id': 'qa_pairs/OQfkYECTyANSCsWy4OYN'}"
How do you know if the baby has hair?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-03-21 22:16:39.112851+00:00', 'id': 'qa_pairs/X7WG1V66O5nCpeSBJn51'}"
How old before my baby grows a tooth?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-31 09:38:56.740601+00:00', 'id': 'qa_pairs/MheSwvpoRgKEpLDl29ck'}"
Which kind of food to avoid during breastfeeding?,"{'author_id': 'V88m8gxhi4aKTeNfKnw8fd1w0n53', 'timestamp': '2023-03-14 19:58:44.328839+00:00', 'id': 'qa_pairs/KdDYXEmyXiZhNTp2AgdK'}"
What should I do about pregnancy fatigue?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-02-25 10:47:04.287299+00:00', 'id': 'qa_pairs/qUOQ1xoQutNdvYVf8ery'}"
How do I treat a clogged milk duct?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-04-17 19:37:26.661306+00:00', 'id': 'qa_pairs/8NmCjenCfQkwiB3U5cZv'}"
How many  vaccines should my baby get ?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:24:21.239921+00:00', 'id': 'qa_pairs/Ss452KcbCBvIUVE7HCVf'}"
What is a high temp for a baby?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-19 20:21:03.214726+00:00', 'id': 'qa_pairs/SL9n5WGm9vBsWmeVQvJH'}"
Why is my babies nose stuffy every morning?,"{'author_id': '84ka1SZgxahTsy8lyty9TUPkJ5k1', 'timestamp': '2023-03-09 05:33:20.330499+00:00', 'id': 'qa_pairs/vWU9oVaES6HGM79rPuVu'}"
When do babies start speaking?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-22 12:21:37.956431+00:00', 'id': 'qa_pairs/gEJHQP8AYNbzRlgrqoza'}"
How many times a week can I shower my baby?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-18 00:03:11.782644+00:00', 'id': 'qa_pairs/2L4UEq4rBEEXFuneqL3q'}"
